flavor,description,image,price,producer
Rio Parana Naranja,"Rio Parana Naranja to kompozycja yerba mate z delikatną nutką tropików. W składzie, oprócz suszu, znajduje się cierpka i gorzka skórka pomarańczy oraz kwaskowata trawa cytrynowa.",www.poyerbani.pl/pol_pl_Rio-Parana-Naranja-0-5-kg-10556_3.webp,23.99,Rio Parana
Verde Mate Green La Potente,Verde Mate Green La Potente to yerba mate pełna ziołowych dodatków. Doskonale pobudza i cechuje się wspaniałym głębokim smakiem.,www.poyerbani.pl/pol_pl_Verde-Mate-Green-La-Potente-0-5kg-4561_4.png,29.99,Verde Mate
Yaguar Amore 500 g – brazylijska yerba mate z owocami i ziołami  ,"Yaguar Amore 500 g łączy w sobie walory tradycyjnej yerba mate z ziołowo-owocowymi dodatkami naturalnego pochodzenia. Całość tworzy jedyny w swoim rodzaju miks, który zapewni doskonały efekt pobudzenia i wspaniałe wrażenia smakowe.",www.poyerbani.pl/pol_pl_Yaguar-Amore-500-g-0-5-kg-brazylijska-yerba-mate-z-owocami-i-ziolami-9274_5.png,24.90,Yaguar
Rio Parana Compuesta con Hierbas,"Rio Parana Compuesta con Hiebas to kompozycja bogata w aromatyczne, ziołowe dodatki. Na pierwszy plan wychodzi mięta pieprzowa, a wśród ziołowych smaków mieszają się nuty kwaskowate, orzeźwiające i lekko słodkie. ",www.poyerbani.pl/pol_pl_Rio-Parana-Compuesta-con-Hierbas-0-5-kg-10548_3.webp,23.99,Rio Parana
Rio Parana Energia,"Rio Parana Energia to yerba mate z dodatkiem pobudzającej guarany. Pochodzący z Ameryki Południowej owoc sprawia, że energetyzujący potencjał naparu jest jeszcze większy.",www.poyerbani.pl/pol_pl_Rio-Parana-Energia-0-5-kg-10553_3.webp,19.99,Rio Parana
Rio Parana Limon,"Rio Parana Limon to klasyczne połączenie yerba mate i cytryny, którą czuć już przy pierwszym otwarciu paczki",www.poyerbani.pl/pol_pl_Rio-Parana-Limon-0-5-kg-10555_3.webp,23.99,Rio Parana
Rio Parana Silueta,"Rio Parana Silueta jest jedną z najbogatszych w składniki propozycją marki. Argentyńskiej yerba mate towarzyszy bukiet ziołowych dodatków: trawa cytrynowa, zielona herbata gunpowder, czystek, mięta i boldo.",www.poyerbani.pl/pol_pl_Rio-Parana-Silueta-0-5-kg-10547_6.webp,19.12,Rio Parana
Verde Mate Green Frutos Tropicales,"Verde Mate Frutos Tropicales to niesamowicie aromatyczna, owocowa mieszanka yerba mate, dzięki której w mig przeniesiesz się na egzotyczną wyspę!",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Frutos-Tropicales-0-5kg-4225_3.png,29.99,Verde Mate
Verde Mate Green Limon (cytrynowa),Verde Mate Green Limón 500 g to zielona brazylijska yerba mate o wspaniałym cytrynowym smaku. Jest świetna na zimno i na ciepło. Dobrze orzeźwia i doskonale pobudza!,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Limon-cytrynowa-0-5kg-4008_4.jpg,29.99,Verde Mate
Verde Mate Green Summertime,"Verde Mate Green Summertime 500 g 0,5 kg to specjalna, limitowana na wakacyjny sezon wariacja popularnej brazylijskiej yerba mate. Kompozycja z miętą, skórką pomarańczy i olejkiem mandarynkowym doskonale pobudza. Będzie pyszna na zimno i na ciepło.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Summertime-0-5kg-8767_5.png,29.99,Verde Mate
Verde Mate Green Terere,"Verde Mate Green Terere 500 g to zielona brazylijska yerba mate z dodatkiem owoców. Unikalna kompozycja jest dedykowana spożywaniu na zimno, zapewniając doskonały efekt orzeźwienia. Oczywiście można ją pić również w ciepłej formie.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Terere-0-5kg-4024_2.png,29.99,Verde Mate
Yaguar Coconut ,"Jeśli jesteś fanem kokosów, to koniecznie musisz spróbować Yaguara Coconut! Smak i zapach idealnie oddają nazwę tej mieszanki. Przyjemny aromat kokosa wyczuwalny jest już przy pierwszym otwarciu paczki.",www.poyerbani.pl/pol_pl_Yaguar-Coconut-0-5-kg-9751_5.webp,24.90,Yaguar
Guarani Exotic Rain,"Guarani Exotic Rain to tropikalna propozycja smakowa paragwajskiej marki yerba mate – bogaty miks ostrokrzewu paragwajskiego i owocowych dodatków. Prezentuje się nieziemsko, a po zaparzeniu dosłownie przenosi na tropikalną wyspę!",www.poyerbani.pl/pol_pl_Guarani-Exotic-Rain-0-5-kg-10528_2.png,25.99,Guarani
Guarani Forest Berries,"Guarani Forest Berries to zaskakująca kompozycja paragwajskiej yerba mate. Za sprawą dodatku owoców jagodowych charakterystyczny, cierpki smak yerba mate płynnie przechodzi w przyjemnie owocową słodycz.",www.poyerbani.pl/pol_pl_Guarani-Forest-Berries-0-5-kg-11101_2.webp,25.99,Guarani
Guarani Fresco,"Guarani Fresco - jak sama nazwa wskazuje, jest to bardzo świeże, oryginalne połączenie paragwajskiej, suszonej dymem yerba mate i aromatycznych, mocno orzeźwiających ziół.",www.poyerbani.pl/pol_pl_Guarani-Fresco-0-5-kg-9854_5.png,25.99,Guarani
Guarani Mas Inteligente,"Guarani Mas Inteligente to dopracowana kompozycja yerba mate, dedykowana szczególnie osobom narażonym na wytężony wysiłek umysłowy. W jej składzie znajduje się m.in. guarana, która stanowi dodatkową porcję kofeiny.",www.poyerbani.pl/pol_pl_Guarani-Mas-Inteligente-0-5-kg-10529_2.png,25.99,Guarani
Guarani Wild Jungle,"Guarani Wild Jungle to bogate połączenie paragwajskiej yerba mate i zaskakujących, owocowo-ziołowych dodatków.",www.poyerbani.pl/pol_pl_Guarani-Wild-Jungle-0-5-kg-9850_5.png,25.99,Guarani
Verde Mate Green Radler,"Verde Mate Green Radler to kolejna yerba, obok Verde Mate Green IPA, inspirowana smakiem piwa. Tym razem inspiracją stały się popularne lekkie, orzeźwiające piwa z niską zawartością alkoholu, które idealnie sprawdzają się w upalne, letnie dni.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Radler-0-5-kg-9602_5.png,29.99,Verde Mate
